run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
imagensCNNfase7_2026-04-23_14-01-32_bs16_ep100_lr0.0003_optAdam_df0.3_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase7\imagensCNNfase7_2026-04-23_14-01-32_bs16_ep100_lr0.0003_optAdam_df0.3_wd0.0,42,cuda,256,16,100,100,0.0003,Adam,0.3,0.0,False,10,0.990391,23,0.984305,0.079099,5265.2723,0.989437,0.989459,0.989439,0.989437,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase7\imagensCNNfase7_2026-04-23_14-01-32_bs16_ep100_lr0.0003_optAdam_df0.3_wd0.0\best_model.pt
imagensCNNfase7_2026-04-23_15-29-26_bs16_ep100_lr0.0003_optAdamW_df0.3_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase7\imagensCNNfase7_2026-04-23_15-29-26_bs16_ep100_lr0.0003_optAdamW_df0.3_wd0.0,42,cuda,256,16,100,100,0.0003,AdamW,0.3,0.0,False,10,0.990391,23,0.984305,0.079099,5015.9848,0.989437,0.989459,0.989439,0.989437,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase7\imagensCNNfase7_2026-04-23_15-29-26_bs16_ep100_lr0.0003_optAdamW_df0.3_wd0.0\best_model.pt
imagensCNNfase7_2026-04-23_16-53-07_bs16_ep100_lr0.0003_optRMSprop_df0.3_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase7\imagensCNNfase7_2026-04-23_16-53-07_bs16_ep100_lr0.0003_optRMSprop_df0.3_wd0.0,42,cuda,256,16,100,100,0.0003,RMSprop,0.3,0.0,False,10,0.986227,26,0.9795,0.215603,5043.7485,0.984635,0.984637,0.984636,0.984635,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase7\imagensCNNfase7_2026-04-23_16-53-07_bs16_ep100_lr0.0003_optRMSprop_df0.3_wd0.0\best_model.pt
