run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
imagensCNNfase4_2026-04-19_22-07-31_bs16_ep50_lr0.0003_optSGD_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-19_22-07-31_bs16_ep50_lr0.0003_optSGD_df0.6_wd0.0,42,cuda,256,16,50,50,0.0003,SGD,0.6,0.0,False,10,0.988469,21,0.987828,0.037374,2454.9594,0.989757,0.989759,0.989758,0.989757,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-19_22-07-31_bs16_ep50_lr0.0003_optSGD_df0.6_wd0.0\best_model.pt
imagensCNNfase4_2026-04-19_22-48-33_bs16_ep50_lr0.0003_optSGD_df0.6_wd1e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-19_22-48-33_bs16_ep50_lr0.0003_optSGD_df0.6_wd1e-05,42,cuda,256,16,50,50,0.0003,SGD,0.6,1e-05,False,10,0.98943,21,0.987508,0.037406,2492.784,0.990397,0.990398,0.990397,0.990397,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-19_22-48-33_bs16_ep50_lr0.0003_optSGD_df0.6_wd1e-05\best_model.pt
imagensCNNfase4_2026-04-19_23-30-12_bs16_ep50_lr0.0003_optSGD_df0.6_wd5e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-19_23-30-12_bs16_ep50_lr0.0003_optSGD_df0.6_wd5e-05,42,cuda,256,16,50,50,0.0003,SGD,0.6,5e-05,False,10,0.98975,36,0.987188,0.039213,2481.0307,0.989117,0.989159,0.989114,0.989116,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-19_23-30-12_bs16_ep50_lr0.0003_optSGD_df0.6_wd5e-05\best_model.pt
imagensCNNfase4_2026-04-20_00-11-39_bs16_ep50_lr0.0003_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_00-11-39_bs16_ep50_lr0.0003_optSGD_df0.7_wd0.0,42,cuda,256,16,50,50,0.0003,SGD,0.7,0.0,False,10,0.98911,44,0.987188,0.035558,2465.4809,0.990077,0.990095,0.990075,0.990077,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_00-11-39_bs16_ep50_lr0.0003_optSGD_df0.7_wd0.0\best_model.pt
imagensCNNfase4_2026-04-20_00-52-50_bs16_ep50_lr0.0003_optSGD_df0.7_wd1e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_00-52-50_bs16_ep50_lr0.0003_optSGD_df0.7_wd1e-05,42,cuda,256,16,50,50,0.0003,SGD,0.7,1e-05,False,10,0.98975,21,0.987828,0.037127,2490.7675,0.990077,0.990085,0.990078,0.990077,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_00-52-50_bs16_ep50_lr0.0003_optSGD_df0.7_wd1e-05\best_model.pt
imagensCNNfase4_2026-04-20_01-34-27_bs16_ep50_lr0.0003_optSGD_df0.7_wd5e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_01-34-27_bs16_ep50_lr0.0003_optSGD_df0.7_wd5e-05,42,cuda,256,16,50,50,0.0003,SGD,0.7,5e-05,False,10,0.99007,17,0.988149,0.036375,2484.922,0.989757,0.989877,0.989752,0.989756,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_01-34-27_bs16_ep50_lr0.0003_optSGD_df0.7_wd5e-05\best_model.pt
imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.6,0.0,False,10,0.99007,41,0.985906,0.044989,2462.1881,0.990717,0.990717,0.990717,0.990717,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0\best_model.pt
imagensCNNfase4_2026-04-20_02-57-05_bs16_ep50_lr0.0005_optSGD_df0.6_wd1e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_02-57-05_bs16_ep50_lr0.0005_optSGD_df0.6_wd1e-05,42,cuda,256,16,50,50,0.0005,SGD,0.6,1e-05,False,10,0.990711,44,0.988149,0.042799,2488.4223,0.985595,0.985604,0.985597,0.985595,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_02-57-05_bs16_ep50_lr0.0005_optSGD_df0.6_wd1e-05\best_model.pt
imagensCNNfase4_2026-04-20_03-38-39_bs16_ep50_lr0.0005_optSGD_df0.6_wd5e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_03-38-39_bs16_ep50_lr0.0005_optSGD_df0.6_wd5e-05,42,cuda,256,16,50,50,0.0005,SGD,0.6,5e-05,False,10,0.98943,43,0.987508,0.03819,2496.5516,0.990397,0.990405,0.990396,0.990397,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_03-38-39_bs16_ep50_lr0.0005_optSGD_df0.6_wd5e-05\best_model.pt
imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.049562,2474.3282,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_04-20-21_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt
