run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
imagensCNNfase2_2026-04-17_18-19-42_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_18-19-42_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.3,0.0,False,10,0.99007,23,0.988789,0.043385,2435.5569,0.986876,0.986894,0.986874,0.986876,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_18-19-42_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0\best_model.pt
imagensCNNfase2_2026-04-17_19-00-23_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_19-00-23_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0001,42,cuda,256,16,50,50,0.0005,SGD,0.3,0.0001,False,10,0.990711,23,0.987188,0.041471,2462.3591,0.989117,0.989118,0.989116,0.989116,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_19-00-23_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0001\best_model.pt
imagensCNNfase2_2026-04-17_19-41-31_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0005,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_19-41-31_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0005,42,cuda,256,16,50,50,0.0005,SGD,0.3,0.0005,False,10,0.99007,25,0.986867,0.041746,2458.247,0.989757,0.989788,0.989754,0.989757,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_19-41-31_bs16_ep50_lr0.0005_optSGD_df0.3_wd0.0005\best_model.pt
imagensCNNfase2_2026-04-17_20-22-35_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_20-22-35_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.5,0.0,False,10,0.990391,25,0.987508,0.040357,2440.4727,0.988476,0.988531,0.988473,0.988476,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_20-22-35_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0\best_model.pt
imagensCNNfase2_2026-04-17_21-03-21_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_21-03-21_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0001,42,cuda,256,16,50,50,0.0005,SGD,0.5,0.0001,False,10,0.98975,25,0.987828,0.039278,2461.4748,0.988796,0.988799,0.988796,0.988796,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_21-03-21_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0001\best_model.pt
imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005,42,cuda,256,16,50,50,0.0005,SGD,0.5,0.0005,False,10,0.98975,20,0.987188,0.039093,2465.4575,0.991037,0.991068,0.991035,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005\best_model.pt
imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.049562,2451.3819,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_22-25-40_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt
imagensCNNfase2_2026-04-17_23-06-37_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_23-06-37_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0001,42,cuda,256,16,50,50,0.0005,SGD,0.7,0.0001,False,10,0.99007,18,0.988149,0.036694,2469.3598,0.988796,0.988818,0.988799,0.988796,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_23-06-37_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0001\best_model.pt
imagensCNNfase2_2026-04-17_23-47-52_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0005,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_23-47-52_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0005,42,cuda,256,16,50,50,0.0005,SGD,0.7,0.0005,False,10,0.99007,36,0.98911,0.030507,2467.0785,0.988476,0.988531,0.988473,0.988476,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_23-47-52_bs16_ep50_lr0.0005_optSGD_df0.7_wd0.0005\best_model.pt
