run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,100,100,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.988149,0.046001,4911.4951,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_10-35-09_bs16_ep100_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt
imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,150,150,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.069467,7302.1619,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_11-57-08_bs16_ep150_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt
imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,200,200,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.987508,0.081089,9735.1259,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_13-58-56_bs16_ep200_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt
imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,250,250,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.986867,0.091065,12232.6184,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_16-41-16_bs16_ep250_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt
imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0,42,cuda,256,16,300,300,0.0005,SGD,0.7,0.0,False,10,0.99007,38,0.988149,0.098082,14624.6543,0.991357,0.991357,0.991357,0.991357,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase3\imagensCNNfase3_2026-04-18_20-05-15_bs16_ep300_lr0.0005_optSGD_df0.7_wd0.0\best_model.pt
