run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
imagensCNNfase1_2026-04-16_13-51-10_bs16_ep50_lr0.001_optAdam_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_13-51-10_bs16_ep50_lr0.001_optAdam_df0.5_wd0.0001,42,cuda,256,16,50,50,0.001,Adam,0.5,0.0001,False,10,0.985586,40,0.974375,0.087992,2534.3549,0.986236,0.986253,0.986234,0.986235,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_13-51-10_bs16_ep50_lr0.001_optAdam_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001,42,cuda,256,16,50,50,0.001,SGD,0.5,0.0001,False,10,0.990391,40,0.986547,0.046689,2470.012,0.991037,0.991079,0.991034,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_15-14-48_bs16_ep50_lr0.001_optAdamW_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_15-14-48_bs16_ep50_lr0.001_optAdamW_df0.5_wd0.0001,42,cuda,256,16,50,50,0.001,AdamW,0.5,0.0001,False,10,0.988469,34,0.986547,0.058426,2520.8219,0.987836,0.987956,0.987831,0.987835,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_15-14-48_bs16_ep50_lr0.001_optAdamW_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_15-56-54_bs16_ep50_lr0.001_optRMSprop_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_15-56-54_bs16_ep50_lr0.001_optRMSprop_df0.5_wd0.0001,42,cuda,256,16,50,50,0.001,RMSprop,0.5,0.0001,False,10,0.54196,43,0.505125,1.077158,2526.256,0.53201,0.532031,0.532017,0.531961,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_15-56-54_bs16_ep50_lr0.001_optRMSprop_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_16-39-06_bs16_ep50_lr0.0005_optAdam_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_16-39-06_bs16_ep50_lr0.0005_optAdam_df0.5_wd0.0001,42,cuda,256,16,50,50,0.0005,Adam,0.5,0.0001,False,10,0.988789,23,0.987188,0.048102,2524.5256,0.990397,0.990397,0.990397,0.990397,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_16-39-06_bs16_ep50_lr0.0005_optAdam_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_17-21-16_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_17-21-16_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0001,42,cuda,256,16,50,50,0.0005,SGD,0.5,0.0001,False,10,0.98975,25,0.987828,0.039278,2468.4346,0.988796,0.988799,0.988796,0.988796,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_17-21-16_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_18-02-30_bs16_ep50_lr0.0005_optAdamW_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_18-02-30_bs16_ep50_lr0.0005_optAdamW_df0.5_wd0.0001,42,cuda,256,16,50,50,0.0005,AdamW,0.5,0.0001,False,10,0.99007,49,0.985586,0.051648,2541.7738,0.986556,0.98657,0.986554,0.986556,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_18-02-30_bs16_ep50_lr0.0005_optAdamW_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_18-44-57_bs16_ep50_lr0.0005_optRMSprop_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_18-44-57_bs16_ep50_lr0.0005_optRMSprop_df0.5_wd0.0001,42,cuda,256,16,50,50,0.0005,RMSprop,0.5,0.0001,False,10,0.970211,33,0.95836,0.114941,2535.7311,0.974072,0.974089,0.97407,0.974071,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_18-44-57_bs16_ep50_lr0.0005_optRMSprop_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_19-27-19_bs16_ep50_lr0.0001_optAdam_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_19-27-19_bs16_ep50_lr0.0001_optAdam_df0.5_wd0.0001,42,cuda,256,16,50,50,0.0001,Adam,0.5,0.0001,False,10,0.99007,31,0.987508,0.047126,2531.5043,0.989437,0.989538,0.989441,0.989436,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_19-27-19_bs16_ep50_lr0.0001_optAdam_df0.5_wd0.0001\best_model.pt
imagensCNNfase1_2026-04-16_20-09-36_bs16_ep50_lr0.0001_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_20-09-36_bs16_ep50_lr0.0001_optSGD_df0.5_wd0.0001,42,cuda,256,16,50,50,0.0001,SGD,0.5,0.0001,False,10,0.990391,25,0.988789,0.036744,2476.381,0.990077,0.990103,0.990075,0.990077,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_20-09-36_bs16_ep50_lr0.0001_optSGD_df0.5_wd0.0001\best_model.pt
