epochs_requested,test_f1_macro,test_accuracy,best_val_acc
200,0.991357,0.991357,0.99007
150,0.991357,0.991357,0.99007
250,0.991357,0.991357,0.99007
300,0.991357,0.991357,0.99007
100,0.9895432083333334,0.9895433749999999,0.9899367916666667
50,0.9419955131578946,0.9499166315789473,0.9503100921052632
