optimizer,test_f1_macro,test_accuracy,best_val_acc
SGD,0.9899108928571428,0.9899110535714285,0.9899558571428572
Adam,0.9885136470588236,0.9885140588235295,0.988808
AdamW,0.9882198,0.9882203333333333,0.9894512666666667
RMSprop,0.7502218666666667,0.7903542,0.7908818
