run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path,metrics_file,experiment_group,run_folder
imagensCNNfase4_2026-04-20_07-47-54_bs16_ep50_lr0.0007_optSGD_df0.6_wd5e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_07-47-54_bs16_ep50_lr0.0007_optSGD_df0.6_wd5e-05,42,cuda,256,16,50,50,0.0007,SGD,0.6,5e-05,False,10,0.99007,33,0.987508,0.04205,2495.7448,0.991037,0.991052,0.991035,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_07-47-54_bs16_ep50_lr0.0007_optSGD_df0.6_wd5e-05\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_07-47-54_bs16_ep50_lr0.0007_optSGD_df0.6_wd5e-05\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-20_07-47-54_bs16_ep50_lr0.0007_optSGD_df0.6_wd5e-05
imagensCNNfase4_2026-04-20_05-43-20_bs16_ep50_lr0.0005_optSGD_df0.7_wd5e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_05-43-20_bs16_ep50_lr0.0005_optSGD_df0.7_wd5e-05,42,cuda,256,16,50,50,0.0005,SGD,0.7,5e-05,False,10,0.98975,39,0.988469,0.036918,2494.8428,0.991037,0.991092,0.991034,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_05-43-20_bs16_ep50_lr0.0005_optSGD_df0.7_wd5e-05\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_05-43-20_bs16_ep50_lr0.0005_optSGD_df0.7_wd5e-05\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-20_05-43-20_bs16_ep50_lr0.0005_optSGD_df0.7_wd5e-05
imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005,42,cuda,256,16,50,50,0.0005,SGD,0.5,0.0005,False,10,0.98975,20,0.987188,0.039093,2465.4575,0.991037,0.991068,0.991035,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase2\imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005\metrics.json,imagensCNNfase2,imagensCNNfase2_2026-04-17_21-44-28_bs16_ep50_lr0.0005_optSGD_df0.5_wd0.0005
imagensCNNfase4_2026-04-21_04-26-55_bs16_ep100_lr0.0007_optSGD_df0.6_wd1e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_04-26-55_bs16_ep100_lr0.0007_optSGD_df0.6_wd1e-05,42,cuda,256,16,100,100,0.0007,SGD,0.6,1e-05,False,10,0.99007,26,0.986547,0.055065,4977.6612,0.991037,0.991041,0.991036,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_04-26-55_bs16_ep100_lr0.0007_optSGD_df0.6_wd1e-05\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_04-26-55_bs16_ep100_lr0.0007_optSGD_df0.6_wd1e-05\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-21_04-26-55_bs16_ep100_lr0.0007_optSGD_df0.6_wd1e-05
imagensCNNfase4_2026-04-21_05-49-59_bs16_ep100_lr0.0007_optSGD_df0.6_wd5e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_05-49-59_bs16_ep100_lr0.0007_optSGD_df0.6_wd5e-05,42,cuda,256,16,100,100,0.0007,SGD,0.6,5e-05,False,10,0.99007,33,0.987508,0.050741,4975.9928,0.991037,0.991052,0.991035,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_05-49-59_bs16_ep100_lr0.0007_optSGD_df0.6_wd5e-05\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_05-49-59_bs16_ep100_lr0.0007_optSGD_df0.6_wd5e-05\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-21_05-49-59_bs16_ep100_lr0.0007_optSGD_df0.6_wd5e-05
imagensCNNfase4_2026-04-20_07-06-18_bs16_ep50_lr0.0007_optSGD_df0.6_wd1e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_07-06-18_bs16_ep50_lr0.0007_optSGD_df0.6_wd1e-05,42,cuda,256,16,50,50,0.0007,SGD,0.6,1e-05,False,10,0.99007,26,0.988149,0.033725,2489.6175,0.991037,0.991041,0.991036,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_07-06-18_bs16_ep50_lr0.0007_optSGD_df0.6_wd1e-05\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_07-06-18_bs16_ep50_lr0.0007_optSGD_df0.6_wd1e-05\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-20_07-06-18_bs16_ep50_lr0.0007_optSGD_df0.6_wd1e-05
imagensCNNfase4_2026-04-21_01-41-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd5e-05,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_01-41-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd5e-05,42,cuda,256,16,100,100,0.0005,SGD,0.7,5e-05,False,10,0.98975,39,0.98911,0.040166,4981.9054,0.991037,0.991092,0.991034,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_01-41-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd5e-05\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_01-41-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd5e-05\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-21_01-41-25_bs16_ep100_lr0.0005_optSGD_df0.7_wd5e-05
imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001,42,cuda,256,16,50,50,0.001,SGD,0.5,0.0001,False,10,0.990391,40,0.986547,0.046689,2470.012,0.991037,0.991079,0.991034,0.991037,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase1\imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001\metrics.json,imagensCNNfase1,imagensCNNfase1_2026-04-16_14-33-32_bs16_ep50_lr0.001_optSGD_df0.5_wd0.0001
imagensCNNfase4_2026-04-21_03-04-32_bs16_ep100_lr0.0007_optSGD_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_03-04-32_bs16_ep100_lr0.0007_optSGD_df0.6_wd0.0,42,cuda,256,16,100,100,0.0007,SGD,0.6,0.0,False,10,0.99007,40,0.988789,0.0501,4937.5402,0.990717,0.990723,0.990716,0.990717,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_03-04-32_bs16_ep100_lr0.0007_optSGD_df0.6_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-21_03-04-32_bs16_ep100_lr0.0007_optSGD_df0.6_wd0.0\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-21_03-04-32_bs16_ep100_lr0.0007_optSGD_df0.6_wd0.0
imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0,42,cuda,256,16,50,50,0.0005,SGD,0.6,0.0,False,10,0.99007,41,0.985906,0.044989,2462.1881,0.990717,0.990717,0.990717,0.990717,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0\best_model.pt,C:\tcc mesonet\experiments\cnn_baseline\imagensCNNfase4\imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0\metrics.json,imagensCNNfase4,imagensCNNfase4_2026-04-20_02-15-57_bs16_ep50_lr0.0005_optSGD_df0.6_wd0.0
