experiment_group,test_f1_macro,test_accuracy,best_val_acc
imagensCNNfase3,0.991357,0.991357,0.99007
imagensCNNfase4,0.9899166388888889,0.9899168055555556,0.9898656388888889
imagensCNNfase2,0.9891874444444445,0.9891875555555555,0.9901057777777778
imagensCNNfase6,0.989116,0.989117,0.991031
imagensCNNfase7,0.9878363333333334,0.9878363333333334,0.989003
base,0.985275,0.985275,0.986867
imagensCNNfase1_1,0.9850081666666667,0.9850085833333333,0.98595975
imagensCNNfase1,0.9490725000000001,0.9490770833333334,0.9502454166666667
imagensCNNfase5,0.8613761666666666,0.8864570416666666,0.88651775
