optimizer,test_f1_macro,test_accuracy,best_val_acc
SGD,0.9744856833333333,0.9744877833333334,0.97354795
AdamW,0.7684886666666667,0.8241038333333334,0.8235640000000001
Adam,0.7523271694915254,0.8062180847457627,0.8060952203389831
RMSprop,0.646520152173913,0.702708304347826,0.7052056086956522
