run_name,run_dir,seed,device,img_size,batch_size,epochs_requested,epochs_executed,learning_rate,optimizer,dropout_conv,dropout_fc,weight_decay,use_early_stopping,early_stopping_patience,best_val_acc,best_epoch,final_val_acc,final_val_loss,total_training_time_sec,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,best_model_path
treinamento_imagens5_1_2026-05-02_11-00-05_bs32_ep100_lr0.0003_optAdam_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_11-00-05_bs32_ep100_lr0.0003_optAdam_dc0.25_df0.3_wd0.0001,42,cuda,256,32,100,100,0.0003,Adam,0.25,0.3,0.0001,False,10,0.983344,94,0.980782,0.051377,2380.1841,0.982714,0.982729,0.982713,0.982714,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_11-00-05_bs32_ep100_lr0.0003_optAdam_dc0.25_df0.3_wd0.0001\best_model.pt
treinamento_imagens5_1_2026-05-02_11-39-52_bs32_ep100_lr0.0003_optSGD_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_11-39-52_bs32_ep100_lr0.0003_optSGD_dc0.25_df0.3_wd0.0001,42,cuda,256,32,100,100,0.0003,SGD,0.25,0.3,0.0001,False,10,0.980141,93,0.974696,0.058673,2395.9833,0.982714,0.982723,0.982713,0.982714,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_11-39-52_bs32_ep100_lr0.0003_optSGD_dc0.25_df0.3_wd0.0001\best_model.pt
treinamento_imagens5_1_2026-05-02_12-19-53_bs32_ep100_lr0.0003_optAdamW_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_12-19-53_bs32_ep100_lr0.0003_optAdamW_dc0.25_df0.3_wd0.0001,42,cuda,256,32,100,100,0.0003,AdamW,0.25,0.3,0.0001,False,10,0.982063,92,0.977899,0.05315,2368.8457,0.981434,0.981434,0.981434,0.981434,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_12-19-53_bs32_ep100_lr0.0003_optAdamW_dc0.25_df0.3_wd0.0001\best_model.pt
treinamento_imagens5_1_2026-05-02_12-59-26_bs32_ep100_lr0.0007_optAdam_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_12-59-26_bs32_ep100_lr0.0007_optAdam_dc0.25_df0.3_wd0.0001,42,cuda,256,32,100,100,0.0007,Adam,0.25,0.3,0.0001,False,10,0.983024,97,0.982383,0.05038,2376.7067,0.984635,0.984774,0.98463,0.984634,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_12-59-26_bs32_ep100_lr0.0007_optAdam_dc0.25_df0.3_wd0.0001\best_model.pt
treinamento_imagens5_1_2026-05-02_13-39-07_bs32_ep100_lr0.0007_optSGD_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_13-39-07_bs32_ep100_lr0.0007_optSGD_dc0.25_df0.3_wd0.0001,42,cuda,256,32,100,100,0.0007,SGD,0.25,0.3,0.0001,False,10,0.982063,94,0.97886,0.050096,2388.089,0.983995,0.984006,0.983997,0.983995,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_13-39-07_bs32_ep100_lr0.0007_optSGD_dc0.25_df0.3_wd0.0001\best_model.pt
treinamento_imagens5_1_2026-05-02_14-18-59_bs32_ep100_lr0.0007_optAdamW_dc0.25_df0.3_wd0.0001,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_14-18-59_bs32_ep100_lr0.0007_optAdamW_dc0.25_df0.3_wd0.0001,42,cuda,256,32,100,100,0.0007,AdamW,0.25,0.3,0.0001,False,10,0.983024,91,0.981422,0.052684,2380.3995,0.981114,0.981223,0.981109,0.981113,C:\tcc mesonet\experiments\mesonet\treinamento_imagens5_1\treinamento_imagens5_1_2026-05-02_14-18-59_bs32_ep100_lr0.0007_optAdamW_dc0.25_df0.3_wd0.0001\best_model.pt
